"price","model","year","mileage","mpg","fuelType","engineSize","tax","transmission"
31,"1",2019,9.9,41.5,"Hybrid",1.4,135,"3"
11.998,"1",2015,46.845,68.9,"Diesel",2,20,"1"
28.999,"1",2019,8.275,48.7,"Diesel",2,150,"2"
7.75,"1",2014,57.97,61.4,"Diesel",2,30,"1"
18.999,"1",2018,4.429,48.7,"Petrol",1.8,145,"3"
25.995,"1",2019,1.5,48.7,"Diesel",2,145,"3"
20.795,"1",2019,17.947,51.4,"Diesel",2,150,"2"
11.8,"1",2016,53.671,67.3,"Diesel",2,20,"1"
18.199,"1",2019,6.751,41.5,"Petrol",1.5,145,"3"
24,"1",2019,8.455,40.4,"Diesel",2,145,"3"
10,"1",2017,82.405,70.6,"Diesel",1.6,20,"2"
23.39,"1",2019,5.79,39.2,"Petrol",1.5,150,"2"
16.59,"1",2018,17.618,61.4,"Diesel",2,145,"2"
12.599,"1",2016,36.986,67.3,"Diesel",2,20,"1"
15.992,"1",2017,25.035,60.1,"Diesel",2,125,"2"
14.998,"1",2017,36.481,68.9,"Diesel",2,150,"1"
12.995,"1",2016,34.991,67.3,"Diesel",1.6,20,"1"
9.5,"1",2015,90.46,67.3,"Diesel",2,20,"1"
26.99,"1",2019,3.771,48.7,"Diesel",2,145,"2"
6.295,"1",2015,123.2,68.9,"Diesel",1.6,20,"1"
5.99,"1",2012,63,61.4,"Diesel",2,30,"1"
16.38,"1",2017,29.221,62.8,"Diesel",2,145,"2"
8.795,"1",2016,79.69,68.9,"Diesel",2,20,"1"
11.498,"1",2015,64.744,62.8,"Diesel",2,30,"2"
22.48,"1",2020,2.576,45.6,"Petrol",1.5,145,"1"
11,"1",2017,73.127,67.3,"Diesel",2,20,"1"
14.49,"1",2016,35.3,67.3,"Diesel",2,20,"1"
18.499,"1",2018,19.392,41.5,"Petrol",1.5,145,"3"
11.29,"1",2016,48.02,62.8,"Diesel",2,30,"2"
13.995,"1",2017,23.895,67.3,"Diesel",2,20,"1"
20.495,"1",2018,22.765,57.6,"Diesel",2,150,"2"
22.99,"1",2019,4.321,45.6,"Petrol",1.5,145,"1"
10.399,"1",2016,48.918,70.6,"Diesel",1.6,20,"1"
31,"1",2020,5,48.7,"Diesel",2,145,"2"
22.49,"1",2017,18.5,166,"Hybrid",1.4,135,"3"
19.995,"1",2017,27.578,166,"Hybrid",1.4,0,"2"
16.99,"1",2019,14.682,54.3,"Diesel",2,145,"1"
15.7,"1",2017,36.556,62.8,"Diesel",2,30,"2"
22.498,"1",2017,27.501,166,"Hybrid",1.4,135,"2"
13.983,"1",2019,11.729,51.4,"Diesel",2,150,"1"
6.5,"1",2015,138.57,70.6,"Diesel",1.6,20,"3"
13.495,"1",2018,31.971,68.9,"Diesel",1.6,145,"1"
6.99,"1",2013,75,61.4,"Diesel",2,30,"1"
10.5,"1",2016,43.699,76.3,"Diesel",1.6,0,"1"
9.45,"1",2015,46.63,68.9,"Diesel",1.6,20,"1"
10.499,"1",2016,50.415,70.6,"Diesel",1.6,20,"1"
10.299,"1",2016,56.778,68.9,"Diesel",1.6,20,"1"
25.96,"1",2019,5.309,48.7,"Diesel",2,145,"3"
11.691,"1",2017,77.445,70.6,"Diesel",1.6,145,"2"
7.393,"1",2015,124,67.3,"Diesel",2,20,"1"
9.299,"1",2015,69.629,67.3,"Diesel",2,20,"1"
17.8,"1",2017,26,62.8,"Diesel",2,145,"2"
10.799,"1",2016,77.857,68.9,"Diesel",2,20,"1"
19.49,"1",2018,18.4,54.3,"Petrol",1.4,145,"1"
8.049,"1",2015,82.934,68.9,"Diesel",2,20,"1"
11.999,"1",2016,41.792,67.3,"Diesel",2,20,"1"
10.997,"1",2016,74.182,60.1,"Diesel",2,125,"3"
20.5,"1",2018,38.899,166,"Hybrid",1.4,135,"3"
8.492,"1",2015,113,68.9,"Diesel",2,20,"1"
20.599,"1",2017,30.828,53.3,"Diesel",2,145,"3"
5.793,"1",2015,130,68.9,"Diesel",1.6,20,"1"
11.35,"1",2017,37.051,70.6,"Diesel",1.6,20,"1"
9.999,"1",2015,57.14,76.3,"Diesel",1.6,0,"1"
18.99,"1",2019,11.341,44.1,"Petrol",1.5,145,"1"
11.995,"1",2015,53,70.6,"Diesel",1.6,20,"3"
5.975,"1",2012,79,64.2,"Diesel",1.6,30,"1"
30.99,"1",2019,6,43.5,"Hybrid",1.4,135,"2"
16.812,"1",2019,19.033,51.4,"Diesel",2,145,"1"
17.998,"1",2018,6.502,45.6,"Petrol",1.5,150,"1"
23.695,"1",2017,25.885,166,"Hybrid",1.4,135,"2"
12.202,"1",2016,38.93,68.9,"Diesel",1.6,20,"3"
15.911,"1",2016,46.664,54.3,"Diesel",2,125,"1"
13.995,"1",2015,27.2,62.8,"Diesel",2,30,"2"
8.396,"1",2015,65.8,70.6,"Diesel",1.6,20,"1"
3.495,"1",2006,29,37.2,"Petrol",1.6,265,"1"
9.44,"1",2016,63.97,68.9,"Diesel",1.6,20,"1"
11.491,"1",2015,35.777,68.9,"Diesel",2,20,"1"
29.48,"1",2019,14.521,43.5,"Hybrid",1.4,135,"2"
14.99,"1",2019,8.781,53.3,"Diesel",2,145,"1"
17.499,"1",2016,31.037,53.3,"Diesel",2,145,"2"
21,"1",2018,9,62.8,"Diesel",2,145,"2"
11.499,"1",2016,66.904,67.3,"Diesel",2,20,"1"
10.299,"1",2017,75.551,67.3,"Diesel",2,20,"1"
23.999,"1",2019,4.249,49.6,"Diesel",1.6,145,"2"
15.9,"1",2018,29.645,67.3,"Diesel",2,150,"1"
16.498,"1",2017,22.136,60.1,"Diesel",2,145,"2"
16.995,"1",2017,27.437,68.9,"Diesel",2,145,"1"
17.883,"1",2019,7.454,46.3,"Petrol",1.5,145,"1"
11.59,"1",2016,48.502,62.8,"Diesel",2,30,"2"
27,"1",2020,2,57.7,"Diesel",2,150,"1"
10.49,"1",2015,49.959,68.9,"Diesel",1.6,20,"1"
11.995,"1",2015,29.008,70.6,"Diesel",1.6,20,"2"
16.99,"1",2019,17.365,54.3,"Diesel",2,145,"1"
8.26,"1",2015,65.07,68.9,"Diesel",1.6,20,"1"
11.995,"1",2015,30.52,68.9,"Diesel",2,20,"1"
11.999,"1",2017,63.336,62.8,"Diesel",2,145,"3"
8.4,"1",2015,81.148,68.9,"Diesel",2,20,"1"
8.599,"1",2015,57.552,70.6,"Diesel",1.6,20,"1"
14.798,"1",2016,33.485,61.4,"Diesel",2,30,"2"
13.45,"1",2016,21.186,62.8,"Diesel",2,30,"3"
15.485,"1",2018,32.007,62.8,"Diesel",2,145,"2"
9.292,"1",2016,104,67.3,"Diesel",2,20,"1"
9.295,"1",2016,99.16,60.1,"Diesel",2,30,"3"
19.298,"1",2019,10.781,41.5,"Petrol",1.5,145,"2"
10.298,"1",2016,56.038,68.9,"Diesel",2,20,"1"
19.995,"1",2018,54.04,166,"Hybrid",1.4,135,"2"
12.995,"1",2018,31.276,70.6,"Diesel",1.6,145,"1"
24.647,"1",2019,9.386,54.3,"Diesel",2,145,"3"
15.999,"1",2017,30.339,62.8,"Diesel",2,150,"2"
10.495,"1",2015,53.643,70.6,"Diesel",1.6,20,"3"
12.3,"1",2016,31.451,68.9,"Diesel",2,20,"1"
7.391,"1",2014,76.599,61.4,"Diesel",2,30,"1"
12.41,"1",2015,46.195,68.9,"Diesel",2,20,"1"
22.495,"1",2019,19.5,39.2,"Petrol",1.5,145,"2"
10.989,"1",2016,58.256,68.9,"Diesel",2,20,"1"
14.491,"1",2017,38.105,68.9,"Diesel",2,20,"1"
13.495,"1",2016,36.694,67.3,"Diesel",1.6,20,"1"
19.499,"1",2017,25.091,54.3,"Petrol",1.4,145,"2"
15.999,"1",2017,14.51,60.1,"Diesel",2,150,"2"
13.989,"1",2018,35.063,70.6,"Diesel",1.6,145,"3"
21.991,"3",2018,9.076,53.3,"Petrol",1.5,145,"1"
23.75,"3",2018,12.188,41.5,"Petrol",2,145,"3"
25.5,"3",2020,1.69,44.1,"Petrol",1.5,145,"1"
24.995,"3",2019,6.588,49.6,"Diesel",2,145,"2"
19.95,"3",2019,2.158,50.4,"Diesel",1.6,145,"1"
28.495,"3",2019,2.15,34.5,"Petrol",2,145,"3"
26.883,"3",2019,4.562,49.6,"Diesel",2,145,"3"
31.85,"3",2020,3,34.5,"Petrol",2,145,"2"
17.49,"3",2019,5.981,50.4,"Diesel",1.6,145,"1"
18.495,"3",2018,10.398,53.3,"Petrol",1.5,145,"1"
17.495,"3",2018,6.908,55.4,"Petrol",1,145,"1"
34.991,"3",2019,10.824,32.5,"Petrol",2,145,"3"
18.49,"3",2018,5.952,50.4,"Diesel",1.6,150,"1"
24.59,"3",2020,22.462,50.4,"Diesel",2,145,"1"
18.995,"3",2018,15.1,44.1,"Petrol",1,145,"1"
16.49,"3",2018,23.494,55.4,"Petrol",1,150,"1"
18.79,"3",2019,3.803,44.1,"Petrol",1,150,"1"
20.99,"3",2018,10.582,53.3,"Petrol",1.5,145,"1"
19.89,"3",2019,11.18,50.4,"Diesel",1.6,145,"1"
16.989,"3",2018,14.452,55.4,"Petrol",1,145,"1"
22.23,"3",2019,3.392,50.4,"Diesel",2,145,"1"
33.074,"3",2019,1.409,32.5,"Petrol",2,145,"2"
25.99,"3",2019,2.423,49.6,"Diesel",2,145,"2"
21.45,"3",2020,3.972,42.2,"Petrol",1.5,145,"1"
24.99,"3",2020,3,39.8,"Petrol",1.5,145,"2"
17.995,"3",2019,12,50.4,"Diesel",1.6,145,"1"
31.99,"3",2020,5.5,32.5,"Petrol",2,150,"3"
21.999,"3",2020,5,42.2,"Petrol",1.5,145,"1"
17.999,"3",2019,8,44.1,"Petrol",1,145,"1"
22.45,"3",2019,5,39.8,"Petrol",1.5,145,"3"
21.23,"3",2020,1.897,44.1,"Petrol",1,145,"1"
21.995,"3",2019,4.387,50.4,"Diesel",1.6,145,"1"
38.99,"3",2020,2,32.5,"Petrol",2,145,"2"
25.999,"3",2020,5,44.1,"Petrol",1.5,145,"1"
21.29,"3",2018,23.012,53.3,"Petrol",1.5,145,"1"
23.995,"3",2019,2.819,42.2,"Petrol",1.5,145,"1"
17.995,"3",2018,15.701,55.4,"Petrol",1,150,"1"
21.699,"3",2019,13.637,46.3,"Diesel",2,145,"1"
19.49,"3",2018,6.252,53.3,"Petrol",1.5,145,"1"
17.25,"3",2018,7.942,55.4,"Petrol",1,150,"1"
16.999,"3",2018,17.506,55.4,"Petrol",1,145,"1"
16.799,"3",2018,16.817,55.4,"Petrol",1,145,"1"
23.979,"3",2019,3.896,49.6,"Diesel",2,150,"3"
24.291,"3",2019,6.83,49.6,"Diesel",2,150,"2"
23.999,"3",2019,5.027,39.8,"Petrol",1.5,145,"2"
17.685,"3",2018,22.584,44.1,"Petrol",1,145,"1"
24.69,"3",2019,4.956,49.6,"Diesel",2,145,"2"
19.995,"3",2019,12.3,42.2,"Petrol",1.5,145,"1"
22.41,"3",2019,5.528,39.8,"Petrol",1.5,145,"2"
25.995,"3",2018,5.756,41.5,"Petrol",2,150,"2"
24.49,"3",2020,2.243,44.1,"Petrol",1.5,145,"1"
20.99,"3",2019,20.124,50.4,"Diesel",1.6,145,"1"
23.425,"3",2018,18.61,41.5,"Petrol",2,145,"2"
27.291,"3",2019,3.381,49.6,"Diesel",2,150,"2"
21.995,"3",2019,14.685,50.4,"Diesel",1.6,150,"1"
22.99,"3",2018,12.958,41.5,"Petrol",2,150,"2"
18.15,"3",2018,20.886,53.3,"Petrol",1.5,150,"1"
28,"3",2019,6.979,34.5,"Petrol",2,145,"3"
23.49,"3",2019,5.814,50.4,"Diesel",2,145,"1"
31.95,"3",2019,5,32.5,"Petrol",2,145,"3"
21.998,"3",2019,6.187,50.4,"Diesel",2,145,"1"
22.38,"3",2019,9.868,50.4,"Diesel",1.6,145,"1"
27.499,"3",2019,6,49.6,"Diesel",2,145,"3"
17.3,"3",2018,17.4,55.4,"Petrol",1,145,"1"
17,"3",2018,12.894,44.1,"Petrol",1,150,"1"
24.995,"3",2019,5.552,50.4,"Diesel",2,145,"1"
19.29,"3",2018,2.75,53.3,"Petrol",1.5,145,"1"
25.45,"3",2019,3.826,39.8,"Petrol",1.5,145,"3"
37.99,"3",2020,1.429,32.5,"Petrol",2,145,"2"
19.45,"3",2018,10.468,50.4,"Diesel",1.6,145,"1"
19.99,"3",2020,1.897,44.1,"Petrol",1,145,"1"
21.49,"3",2019,3.535,46.3,"Diesel",2,145,"1"
20.95,"3",2018,11.146,53.3,"Petrol",1.5,145,"1"
24.29,"3",2019,5.028,39.8,"Petrol",1.5,150,"2"
17.49,"3",2018,22.113,55.4,"Petrol",1,145,"1"
32,"3",2019,2.128,32.5,"Petrol",2,145,"3"
19.995,"3",2018,29.039,53.3,"Petrol",1.5,150,"1"
21.411,"3",2020,2.461,42.2,"Petrol",1.5,150,"1"
22.495,"3",2019,2.86,39.8,"Petrol",1.5,145,"2"
19.998,"3",2018,11.941,52.3,"Petrol",1.5,145,"2"
19.79,"3",2019,3.845,50.4,"Diesel",1.6,145,"1"
22.052,"3",2018,6.012,39.8,"Petrol",1.5,145,"3"
19.995,"3",2018,16.251,53.3,"Petrol",1.5,145,"1"
16.995,"3",2018,13.996,55.4,"Petrol",1,145,"1"
17.307,"3",2018,16.884,55.4,"Petrol",1,150,"1"
25.79,"3",2020,1.208,50.4,"Diesel",2,145,"2"
22.206,"3",2019,2.344,46.3,"Diesel",2,145,"1"
23.995,"3",2019,4.116,42.2,"Petrol",1.5,145,"1"
32.99,"3",2019,3,32.5,"Petrol",2,145,"3"
23.49,"3",2019,5.309,39.8,"Petrol",1.5,145,"3"
20.99,"3",2019,4.36,50.4,"Diesel",1.6,145,"1"
21.495,"3",2019,3.014,50.4,"Diesel",1.6,145,"1"
18.5,"3",2019,7.102,50.4,"Diesel",1.6,145,"1"
20.999,"3",2020,1.843,44.1,"Petrol",1,145,"1"
32.99,"3",2019,7.671,32.5,"Petrol",2,145,"3"
17.95,"3",2018,18.2,53.3,"Petrol",1.5,150,"1"
32.49,"3",2019,9.475,32.5,"Petrol",2,145,"3"
21.092,"3",2018,17.588,53.3,"Petrol",1.5,145,"1"
20.99,"3",2018,9.275,53.3,"Petrol",1.5,145,"1"
30.99,"3",2019,8.106,32.5,"Petrol",2,145,"3"
22.79,"3",2018,27,41.5,"Petrol",2,145,"3"
23.795,"3",2020,4,42.2,"Petrol",1.5,150,"1"
27.295,"3",2020,2.317,49.6,"Diesel",2,145,"3"
21.495,"3",2018,14.521,42.2,"Petrol",1.5,150,"1"
18.004,"3",2020,2.512,44.8,"Petrol",1,145,"1"
21.399,"3",2018,7.5,53.3,"Petrol",1.5,145,"1"
26.995,"3",2020,2.964,39.8,"Petrol",1.5,150,"2"
20.99,"3",2019,6,50.4,"Diesel",2,145,"1"
21.49,"3",2019,7.052,42.2,"Petrol",1.5,150,"1"
19.499,"3",2019,8.745,42.2,"Petrol",1.5,145,"1"
21.991,"3",2019,5.156,42.2,"Petrol",1.5,145,"1"
19.299,"3",2018,16.077,53.3,"Petrol",1.5,145,"1"
20.995,"3",2019,4,50.4,"Diesel",2,145,"1"
21.75,"3",2019,8.325,50.4,"Diesel",1.6,145,"1"
20.912,"3",2019,6.608,50.4,"Diesel",1.6,145,"1"
19.99,"3",2019,4.646,50.4,"Diesel",1.6,145,"1"
25.99,"3",2019,10.986,50.4,"Diesel",2,145,"1"
22.995,"3",2019,4.003,46.3,"Diesel",2,145,"1"
27.49,"3",2020,3.001,42.2,"Petrol",1.5,145,"1"
18.25,"3",2018,8.8,44.1,"Petrol",1,145,"1"
33,"3",2019,2.515,32.5,"Petrol",2,145,"2"
26,"3",2020,2,42.2,"Petrol",1.5,145,"1"
24.495,"3",2019,5.773,49.6,"Diesel",2,150,"2"
20.291,"3",2018,23.195,53.3,"Petrol",1.5,145,"1"
31.99,"3",2019,3.548,32.5,"Petrol",2,145,"3"
24.469,"3",2019,12.54,39.8,"Petrol",1.5,145,"3"
30.991,"3",2020,1.343,34.5,"Petrol",2,145,"2"
6.5,"2",2016,15.587,62.8,"Petrol",1,20,"1"
7.45,"2",2018,9.1,64.2,"Petrol",1,150,"1"
9.995,"2",2018,12.5,68.9,"Petrol",1,145,"1"
7.42,"2",2017,26.075,64.2,"Petrol",1,20,"1"
7.8,"2",2017,3.732,64.2,"Petrol",1,145,"1"
5.9,"2",2016,25.847,62.8,"Petrol",1,20,"1"
9.7,"2",2019,4.815,54.3,"Petrol",1,145,"1"
6.5,"2",2016,45,64.2,"Petrol",1,20,"1"
5.4,"2",2013,13.461,62.8,"Petrol",1,20,"1"
6.295,"2",2017,32.058,64.2,"Petrol",1,145,"1"
8.49,"2",2019,1.445,54.3,"Petrol",1,145,"1"
7.299,"2",2017,23.162,64.2,"Petrol",1,150,"1"
7.488,"2",2017,28.449,64.2,"Petrol",1,150,"1"
5.47,"2",2013,28.393,60.1,"Petrol",1,20,"1"
6.295,"2",2016,41.2,62.8,"Petrol",1,20,"1"
6.87,"2",2016,16.429,64.2,"Petrol",1,20,"1"
5.995,"2",2013,23.39,62.8,"Petrol",1,20,"1"
6.5,"2",2016,8.822,62.8,"Petrol",1,20,"1"
5.2,"2",2014,15,62.8,"Petrol",1,20,"1"
7.99,"2",2017,9.179,64.2,"Petrol",1,145,"1"
9.495,"2",2018,12.146,60.1,"Petrol",1,145,"1"
5.295,"2",2012,56.5,62.8,"Petrol",1,20,"1"
6.118,"2",2015,16.7,62.8,"Petrol",1,20,"1"
7.98,"2",2017,21.9,64.2,"Petrol",1,150,"1"
4.495,"2",2014,46.748,62.8,"Petrol",1,20,"1"
7.19,"2",2017,11.971,64.2,"Petrol",1,20,"1"
9.69,"2",2019,2.463,54.3,"Petrol",1,145,"1"
11.995,"2",2019,1.224,54.3,"Petrol",1,145,"1"
7.99,"2",2016,27,64.2,"Petrol",1,20,"1"
6.298,"2",2015,19.367,62.8,"Petrol",1,20,"1"
6.99,"2",2016,11.732,64.2,"Petrol",1,20,"1"
7.75,"2",2018,16.5,64.2,"Petrol",1,145,"1"
7.495,"2",2014,5,60.1,"Petrol",1,20,"1"
9.999,"2",2020,5,54.3,"Petrol",1,145,"1"
6.727,"2",2013,27.658,60.1,"Petrol",1,20,"1"
5.995,"2",2015,50.263,60.1,"Petrol",1,20,"1"
5.18,"2",2014,30.32,62.8,"Petrol",1,20,"1"
7.49,"2",2017,23.53,64.2,"Petrol",1,20,"1"
5.495,"2",2013,42.346,67.3,"Petrol",1,0,"1"
8.495,"2",2017,29.54,60.1,"Petrol",1,20,"1"
6.4,"2",2015,32.915,62.8,"Petrol",1,20,"1"
6.995,"2",2015,18.644,62.8,"Petrol",1,20,"1"
8.995,"2",2017,19,60.1,"Petrol",1,150,"1"
6.699,"2",2014,8.397,60.1,"Petrol",1,20,"1"
6.399,"2",2017,23.252,64.2,"Petrol",1,20,"1"
7.499,"2",2017,14.032,64.2,"Petrol",1,20,"1"
9.995,"2",2018,6.178,64.2,"Petrol",1,145,"1"
7.8,"2",2016,26.41,61.4,"Petrol",1,20,"1"
9.495,"2",2019,3.851,54.3,"Petrol",1,145,"1"
6.495,"2",2016,21.49,62.8,"Petrol",1,20,"1"
7.495,"2",2016,13.019,61.4,"Petrol",1,20,"1"
7.495,"2",2017,31,64.2,"Petrol",1,145,"1"
5.497,"2",2016,46.592,64.2,"Petrol",1,20,"1"
6.99,"2",2017,21.827,60.1,"Petrol",1,150,"1"
7.5,"2",2017,14,64.2,"Petrol",1,145,"1"
7.5,"2",2017,10.551,64.2,"Petrol",1,145,"1"
6.99,"2",2017,28.886,64.2,"Petrol",1,20,"1"
4.799,"2",2014,52.592,62.8,"Petrol",1,20,"1"
3.99,"2",2016,50,62.8,"Petrol",1,20,"1"
8.96,"2",2019,5.026,54.3,"Petrol",1,145,"1"
8.75,"2",2017,18.118,60.1,"Petrol",1,150,"1"
7.465,"2",2016,26.156,61.4,"Petrol",1,20,"1"
7.995,"2",2017,9.256,68.9,"Petrol",1,150,"1"
6.43,"2",2014,23.25,60.1,"Petrol",1,20,"1"
7.495,"2",2017,20,64.2,"Petrol",1,145,"1"
4.998,"2",2014,48.916,62.8,"Petrol",1,20,"1"
7.995,"2",2017,22.34,64.2,"Petrol",1,150,"1"
8.495,"2",2016,12.695,61.4,"Petrol",1,20,"1"
6.495,"2",2013,24,62.8,"Petrol",1,20,"1"
10.965,"2",2019,1.653,54.3,"Petrol",1,145,"1"
10.29,"2",2019,2.442,54.3,"Petrol",1,145,"1"
7.777,"2",2018,19.411,64.2,"Petrol",1,145,"1"
7.362,"2",2017,25,64.2,"Petrol",1,145,"1"
7.295,"2",2017,14.291,64.2,"Petrol",1,20,"1"
7.99,"2",2015,16.561,60.1,"Petrol",1,20,"1"
4.698,"2",2016,77.832,62.8,"Petrol",1,20,"1"
7.4,"2",2017,32.558,64.2,"Petrol",1,150,"1"
4.298,"2",2014,44.049,62.8,"Petrol",1,20,"1"
6.8,"2",2015,14.9,67.3,"Petrol",1,0,"1"
8.49,"2",2019,6,55.4,"Petrol",1,145,"1"
8.4,"2",2017,19.487,64.2,"Petrol",1,20,"1"
5.499,"2",2015,27,62.8,"Petrol",1,20,"1"
7,"2",2017,39,64.2,"Petrol",1,145,"1"
8.78,"2",2019,5.6,54.3,"Petrol",1,145,"1"
6.99,"2",2016,10.876,64.2,"Petrol",1,20,"1"
7.498,"2",2016,11.215,64.2,"Petrol",1,20,"1"
9.9,"2",2019,10.75,52.3,"Petrol",1,145,"1"
9.641,"2",2020,3.5,54.3,"Petrol",1,145,"1"
4.95,"2",2014,50.918,62.8,"Petrol",1,20,"1"
6.4,"2",2016,42.781,62.8,"Petrol",1,20,"1"
9.999,"2",2018,9.726,64.2,"Petrol",1,145,"1"
9.99,"2",2019,3,54.3,"Petrol",1,145,"1"
10.99,"2",2020,1.201,54.3,"Petrol",1,145,"1"
7.99,"2",2018,5.399,64.2,"Petrol",1,150,"1"
10.355,"2",2019,9.999,54.3,"Petrol",1,145,"1"
8.96,"2",2019,5.985,54.3,"Petrol",1,145,"1"
5.695,"2",2016,40.524,62.8,"Petrol",1,20,"1"
7.25,"2",2017,17.546,64.2,"Petrol",1,20,"1"
5.999,"2",2014,27.29,62.8,"Petrol",1,20,"1"
7.999,"2",2017,23.656,64.2,"Petrol",1,20,"1"
7.49,"2",2016,19.5,64.2,"Petrol",1,20,"1"
6.898,"2",2017,15.182,64.2,"Petrol",1,20,"1"
10.95,"2",2020,2.038,54.3,"Petrol",1,145,"1"
4.795,"2",2013,19.083,62.8,"Petrol",1,20,"1"
10.79,"2",2019,1.961,54.3,"Petrol",1,145,"1"
7.49,"2",2017,14.487,64.2,"Petrol",1,145,"1"
9.69,"2",2020,2.277,54.3,"Petrol",1,145,"1"
9.699,"2",2019,1.243,54.3,"Petrol",1,145,"1"
7.54,"2",2017,21.115,64.2,"Petrol",1,20,"1"
6.495,"2",2015,46.731,60.1,"Petrol",1,20,"1"
8.2,"2",2015,8.283,60.1,"Petrol",1,20,"1"
9.001,"2",2018,14.479,68.9,"Petrol",1,150,"1"
8.995,"2",2018,12.837,64.2,"Petrol",1,145,"1"
6.4,"2",2016,26.326,62.8,"Petrol",1,20,"1"
6.995,"2",2016,19.539,62.8,"Petrol",1,20,"1"
5.3,"2",2015,39.856,62.8,"Petrol",1,20,"1"
5.395,"2",2013,34.515,60.1,"Petrol",1,20,"1"
6.991,"2",2014,26,60.1,"Petrol",1,20,"1"
6,"2",2016,33.779,62.8,"Petrol",1,20,"1"
6.898,"2",2016,26.902,64.2,"Petrol",1,20,"1"
4.091,"2",2014,78.847,62.8,"Petrol",1,20,"1"
8,"2",2018,6.19,54.3,"Petrol",1,145,"1"
4.33,"2",2014,49.16,62.8,"Petrol",1,20,"1"
4.2,"2",2014,54.619,62.8,"Petrol",1,20,"1"
7,"2",2017,31.342,64.2,"Petrol",1,150,"1"
8.695,"2",2016,17,67.3,"Petrol",1,0,"1"
5.491,"2",2016,30.674,64.2,"Petrol",1,20,"1"
7.495,"2",2017,11.124,64.2,"Petrol",1,20,"1"
13.317,"2",2020,5,50.4,"Petrol",1,145,"1"
5.799,"2",2014,13.318,62.8,"Petrol",1,20,"1"
6.45,"2",2017,29.455,64.2,"Petrol",1,20,"1"
7.495,"2",2017,15,64.2,"Petrol",1,150,"1"
7.45,"2",2016,28.895,64.2,"Petrol",1,20,"1"
8.499,"2",2017,24.388,64.2,"Petrol",1,20,"1"
5.969,"2",2015,21.603,61.4,"Petrol",1,20,"1"
8.99,"2",2017,18.172,60.1,"Petrol",1,150,"1"
8.79,"2",2019,3.5,54.3,"Petrol",1,145,"1"
6.5,"2",2013,39.337,60.1,"Petrol",1,20,"1"
6.865,"2",2015,38.833,61.4,"Petrol",1,20,"1"
7.4,"2",2017,12.314,68.9,"Petrol",1,145,"1"
6.995,"2",2016,25.562,62.8,"Petrol",1,20,"1"
9.99,"2",2019,2,54.3,"Petrol",1,150,"1"
7.3,"2",2016,30.445,61.4,"Petrol",1,20,"1"
7.95,"2",2018,23.636,64.2,"Petrol",1,150,"1"
